"","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","totalRock","response.cor","fwd.error1","fwd.error2","forecast","bn.score","arcStr","parentCount"
"1",2,33,36,210,260,634,825,848,57,2,0.0179883818409725,0.011436490022424,1.76074740780279,-6336.9872381982,-352.224705081942,3
"2",2,216,277,285,354,397,657,732,57,5,0.0593292198793154,0.0138424520011147,1.83405612877355,-6772.14595210488,-210.502578573684,3
"3",2,172,216,277,285,397,523,732,55,5,0.0152861552081824,0.0878309103959611,1.83397146998408,-6593.42958408805,-201.718578787183,3
"4",2,75,288,309,343,690,739,790,55,5,0.179398285159603,0.0938684062689865,1.91195506798136,-8335.11720232357,-316.612203055302,3
"5",2,39,57,301,530,584,678,768,52,2,0.0591276635583258,0.014435295928922,1.79920166489362,-7814.1257528003,-363.702109002398,1
"6",2,77,82,326,356,594,657,783,52,5,0.0627034944611016,0.0239320537678944,1.82653848697184,-8461.07574442795,-352.057366081746,3
"7",2,201,569,611,698,723,776,837,50,5,0.0591276635583258,0.014435295928922,1.79920166489362,-7077.26693983018,-363.702109002398,1
"8",2,147,286,320,357,389,514,638,49,3,0.0499753443727466,0.038109125977754,1.78925106172618,-9370.87698758869,-353.254894772519,2
"9",2,99,187,398,422,512,675,831,48,4,0.0628468616250839,0.015980995163192,1.82083262823434,-8977.31297679644,-367.938072626437,2
"10",2,148,220,383,563,713,716,741,48,5,0.069064206810006,0.00292881745352647,1.81733709725326,-7911.16813183053,-340.096501754482,2
"11",2,113,331,418,439,634,657,738,47,4,0.0227650261808963,0.0793702440218205,1.75855326912802,-8431.05426529412,-314.788297763716,3
"12",53,82,119,216,298,555,606,741,47,5,0.0285590308910546,0.095684937369974,1.61242547999305,-8155.38387192377,-161.962769195623,3
"13",2,92,146,173,239,402,568,820,47,5,0.0591276635583258,0.014435295928922,1.79920166489362,-7820.80221555208,-363.702109002398,1
"14",30,75,165,226,360,468,813,844,47,5,0.538706370532687,0.790608506547862,1.11839466108945,-6646.76215691045,-328.586291474027,3
"15",2,39,301,483,526,530,584,768,46,3,0.0242137472353499,0.0401890219424965,1.78716282830013,-8450.40199572503,-347.524862327571,2
"16",2,23,45,244,273,509,525,657,46,2,0.0304896684562688,0.0395241624479563,1.78627695800658,-7952.51933663054,-365.185782788891,2
"17",2,40,192,247,289,403,717,848,46,4,0.0689833198020426,0.0239221905757201,1.87410025664665,-6517.43427566952,-212.419549260537,3
"18",2,99,187,384,398,422,512,625,46,4,0.0999531966662661,0.00870465935504416,1.76399775943184,-8804.55859008282,-351.942611107913,3
"19",2,23,72,135,137,732,788,821,46,5,0.111593048605497,0.0832811841554635,1.8832426631654,-8574.70635125827,-341.477107006184,3
"20",2,192,438,454,633,716,805,834,45,2,0.0591276635583258,0.014435295928922,1.79920166489362,-9344.55345869228,-363.702109002398,1
"21",2,241,244,284,409,518,576,649,45,6,0.0591276635583258,0.014435295928922,1.79920166489362,-6724.8210302516,-363.702109002398,1
"22",2,103,147,286,357,389,478,638,44,3,0.0499753443727466,0.038109125977754,1.78925106172618,-9567.6160624778,-353.254894772519,2
"23",2,365,541,614,710,716,814,834,44,5,0.0614804910409772,0.0132779964084235,1.78769814912308,-9722.67550248468,-322.443734688111,2
"24",175,225,279,479,670,678,711,738,44,3,0.0617028671227295,0.22511795733516,1.41551225037163,-10457.0790915085,-39.4934998583208,3
"25",2,115,125,415,522,557,595,726,43,7,0.0121146960735843,0.0756190742524738,1.7218873044968,-9397.87706837954,-306.394407176975,3
"26",2,63,127,183,285,443,538,641,43,2,0.0163954935714532,0.052961298737312,1.7505656353037,-8661.36240877969,-322.41584994317,3
"27",2,23,52,172,244,273,509,525,43,3,0.0171171349605181,0.107917031438937,1.81885312004441,-7465.09444917236,-333.863265028842,3
"28",2,31,134,144,433,524,562,821,43,5,0.0382237820790459,0.0679170501726269,1.8824634170973,-7074.72675537528,-378.548033621561,3
"29",2,65,203,264,398,669,701,812,43,4,0.0591276635583258,0.014435295928922,1.79920166489362,-6877.43704211475,-363.702109002398,1
"30",2,72,454,498,690,716,718,772,43,4,0.082072243451293,0.0279034025641816,1.85500447319231,-8483.87997728762,-356.618365778743,2
"31",2,76,138,144,166,175,273,497,42,6,0.033670378834241,0.07842278795123,1.8629565295716,-8998.40171434253,-374.385423254541,2
"32",2,252,282,478,499,683,684,725,42,2,0.0591276635583258,0.014435295928922,1.79920166489362,-7544.43060675539,-363.702109002398,1
"33",2,184,259,262,419,541,623,775,42,3,0.0591276635583258,0.014435295928922,1.79920166489362,-8899.66022995788,-363.702109002398,1
"34",2,41,306,566,633,732,751,831,42,5,0.0591276635583258,0.014435295928922,1.79920166489362,-8149.83770302465,-363.702109002398,1
"35",2,107,282,631,637,641,814,815,42,4,0.0625936827827296,0.00735969963718053,1.78533925151921,-9403.43573667896,-356.173439509515,2
"36",2,178,215,281,384,486,698,793,42,5,0.074838849400376,0.0303476840690151,1.84111329530267,-6188.58923759763,-353.288228065096,3
"37",2,131,248,250,479,499,570,695,42,3,0.0830667582905806,0.034815759966119,1.86336810023692,-8749.57871368568,-371.68140999809,2
"38",2,54,189,291,441,572,704,714,41,6,0.00432643275211086,0.0675945624831811,1.71726098054414,-9462.99731193793,-234.194752554115,3
"39",2,30,120,211,251,437,510,656,41,2,0.0465920320520425,0.037332475848135,1.76116718012363,-7284.71693144742,-357.307417458643,2
"40",2,103,147,157,320,357,389,638,41,3,0.0499753443727466,0.038109125977754,1.78925106172618,-7969.21123608761,-353.254894772519,2
"41",2,55,85,340,435,457,638,704,41,3,0.0591276635583258,0.014435295928922,1.79920166489362,-8245.32411460978,-363.702109002398,1
"42",2,198,201,436,483,638,665,733,41,4,0.0591276635583258,0.014435295928922,1.79920166489362,-6987.77969023745,-363.702109002398,1
"43",1,2,322,413,623,641,713,741,41,4,0.0625936827827296,0.00735969963718053,1.78533925151921,-7008.50107027227,-356.173439509515,2
"44",2,241,244,284,576,649,716,722,41,5,0.0648941676809511,0.0215187901051097,1.82578787491073,-6622.73705026642,-315.618887961408,2
"45",2,38,192,438,454,561,805,834,41,2,0.0875621548474328,0.0268663944087872,1.83788295774947,-9685.18412735327,-357.412516014438,2
"46",2,485,584,656,687,688,771,838,41,2,0.0967106748297588,0.0239848135612175,1.83700913813142,-10050.4361273138,-370.640903222187,2
"47",2,6,238,292,393,699,748,837,41,4,0.100166100989435,0.0413808985081467,1.85818796404301,-6002.76981191553,-355.458702587086,2
"48",2,40,192,247,403,601,717,737,41,3,0.153986606874359,0.115525223783304,1.94145197636985,-7214.1510294769,-367.543815044618,3
"49",2,62,216,285,372,438,775,819,40,5,0.0488336789419557,0.0203013603713327,1.80109482705767,-8953.19581138284,-210.041101296129,3
"50",2,92,223,352,453,464,804,819,40,4,0.0497235609883455,0.0216671735289857,1.78131317236309,-8779.19153239585,-343.699477553736,2
"51",2,184,244,252,293,765,819,841,40,2,0.0591276635583258,0.014435295928922,1.79920166489362,-7104.4229076211,-363.702109002398,1
"52",2,40,371,437,505,549,826,850,40,3,0.0622010909267248,0.0129163577126479,1.76195255840671,-7018.20891137978,-325.86182147143,3
"53",95,179,324,339,385,407,813,843,40,6,0.244838693266527,0.375015796731668,1.40898256503903,-8936.77337907242,-124.865192884672,3
"54",2,39,44,77,89,342,476,608,39,3,0.039877950165953,0.0328790535498922,1.80558474463012,-8117.51548124831,-326.025499008353,3
"55",2,26,40,437,505,549,593,826,39,2,0.0622010909267248,0.0129163577126479,1.76195255840671,-7312.58143156164,-325.86182147143,3
"56",53,82,119,298,555,606,632,666,39,5,0.0959017832330435,0.0895225616282616,1.74501456052853,-8024.69707962172,-155.734103694602,3
"57",2,51,95,179,339,407,813,843,39,6,0.116951762684708,0.033698625768745,1.86229715418352,-8138.90401326929,-335.848549893938,3
"58",2,181,221,261,349,632,731,770,38,5,0.0119919305814422,0.0460251700248842,1.78851681060387,-8463.3723496254,-360.011512521485,2
"59",2,94,231,299,459,461,585,829,38,4,0.0264227253460467,0.0563871530820637,1.77732627865571,-7711.90682254297,-298.132655052407,3
"60",2,139,204,271,550,766,784,819,38,3,0.0380167160508933,0.0371228698538397,1.78084556419218,-8352.75204998143,-360.806741247078,2
"61",2,72,296,339,615,724,758,855,38,5,0.0581713246667896,0.0353503028879782,1.78993310384065,-8488.13109301584,-337.045609888307,3
"62",2,3,97,248,342,564,659,794,38,2,0.0591276635583258,0.014435295928922,1.79920166489362,-9886.92736412969,-363.702109002398,1
"63",2,84,236,439,462,568,790,833,38,5,0.0591276635583258,0.014435295928922,1.79920166489362,-8762.74598618379,-363.702109002398,1
"64",2,188,281,344,434,561,683,723,38,4,0.0597724849529204,0.0266828636552205,1.79211178976744,-9195.39696710206,-348.542884764293,2
"65",65,216,363,523,732,752,821,845,38,5,0.0742484733774369,0.0608318971667707,1.64267073464113,-6881.1728886034,-190.886553627098,3
"66",2,6,54,292,346,699,748,837,38,4,0.100166100989435,0.0413808985081467,1.85818796404301,-7153.61664941128,-355.458702587086,2
"67",97,118,255,390,437,509,526,719,37,2,0.0109819877069086,0.157866187132828,1.66357853644831,-11453.2700654674,-46.6988128825216,3
"68",2,71,164,278,296,320,445,574,37,2,0.0174888742875359,0.0716406274086367,1.75109433413757,-7155.99086992818,-340.589742979677,2
"69",2,80,144,271,360,416,807,823,37,4,0.0195394458403919,0.0894996280491269,1.86252230279149,-7268.21214612882,-334.757255951106,3
"70",2,49,72,123,149,249,416,771,37,5,0.0225897919341134,0.0879797094177206,1.75336489868655,-7855.12458809539,-365.81814656228,2
"71",2,175,322,392,394,491,611,701,37,3,0.0372018325131915,0.0214658790034341,1.80998953494917,-5631.96146698495,-320.330410406785,2
"72",2,39,77,89,152,271,342,608,37,3,0.039877950165953,0.0328790535498922,1.80558474463012,-7681.69079441339,-326.025499008353,3
"73",2,86,341,392,399,428,491,693,37,2,0.0591276635583258,0.014435295928922,1.79920166489362,-9297.48529928399,-363.702109002398,1
"74",2,76,294,345,431,676,809,833,37,3,0.145187467217883,0.0802924209711584,1.94298848401607,-9525.08627043126,-275.155731502628,3
"75",2,42,125,252,261,322,426,797,36,3,0.000297699982094501,0.0522886131087688,1.76989051286202,-8756.26106885926,-365.595078380862,2
"76",2,45,142,354,530,543,655,821,36,4,0.0117341470335393,0.0748407574764163,1.7685436952662,-9973.79462456685,-358.961066370865,3
"77",2,49,68,317,396,421,691,830,36,3,0.0225897919341134,0.0879797094177206,1.75336489868655,-9324.17041415103,-365.81814656228,2
"78",1,2,55,438,593,675,831,833,36,4,0.0283236983010129,0.0518367127035382,1.7594209030973,-6613.73168374545,-348.930394982997,2
"79",10,54,119,216,543,590,645,716,36,4,0.0295318651150793,0.0927739844757354,1.51913001076848,-12497.4081979902,-306.095818045336,3
"80",2,118,355,473,523,527,647,756,36,3,0.0452518408478877,0.025247017281657,1.83085454236997,-8467.95694033316,-365.536573011322,3
"81",2,120,211,251,437,453,510,656,36,2,0.0465920320520425,0.037332475848135,1.76116718012363,-7506.50517866058,-357.307417458643,2
"82",2,222,296,339,469,615,758,855,36,5,0.0581713246667896,0.0353503028879782,1.78993310384065,-8290.38287442075,-337.045609888307,3
"83",2,259,262,357,419,428,623,775,36,2,0.0591276635583258,0.014435295928922,1.79920166489362,-9340.26024102114,-363.702109002398,1
"84",2,41,191,306,408,566,633,831,36,4,0.0591276635583258,0.014435295928922,1.79920166489362,-6845.03740012762,-363.702109002398,1
"85",2,218,266,400,501,627,673,683,36,3,0.0591276635583258,0.014435295928922,1.79920166489362,-6137.043221204,-363.702109002398,1
"86",2,269,270,327,527,540,625,854,36,4,0.0602574763040808,0.03797648700377,1.77855228934708,-8767.2263902694,-311.685194927672,2
"87",2,137,317,338,483,698,728,730,36,2,0.0750182610095,0.0470317458761693,1.8374902802034,-8113.16781998092,-311.366304000488,3
"88",2,172,302,500,728,787,790,802,35,4,0.00715510504236416,0.12543306389822,1.80244609905905,-11534.152756316,-334.002448172709,2
"89",2,8,71,103,365,508,643,756,35,6,0.0224539030324329,0.0459581250763348,1.79436033312155,-7114.01105193078,-273.664130782707,3
"90",2,131,226,384,431,547,551,561,35,3,0.0229601209421531,0.0220763297461077,1.79644142078218,-10508.5841525192,-349.678500876592,3
"91",2,40,399,437,505,593,826,850,35,2,0.0283236983010129,0.0518367127035382,1.7594209030973,-7694.88317566335,-348.930394982997,2
"92",2,69,128,376,426,466,657,823,35,2,0.0297485309387038,0.0414121602136859,1.79272140588532,-10207.7920902076,-356.547728008922,2
"93",2,142,153,328,610,691,727,829,35,4,0.0479162965711011,0.0403890419066313,1.78622462018898,-9070.02613929076,-354.540353809724,2
"94",2,111,260,367,413,436,604,754,35,4,0.0591276635583258,0.014435295928922,1.79920166489362,-9097.8715601637,-363.702109002398,1
"95",2,7,158,286,300,330,599,851,35,4,0.0591276635583258,0.014435295928922,1.79920166489362,-9811.3649841982,-363.702109002398,1
"96",2,131,226,327,384,547,551,561,35,4,0.0642161608083038,0.0305786098282661,1.78310313338596,-8277.40216500469,-305.778106834879,3
"97",2,182,310,354,452,537,563,633,35,5,0.0682116940284383,0.01887621222883,1.79994485725177,-7416.16031926691,-311.038609635779,2
"98",2,4,144,223,575,595,758,831,35,4,0.0848442351008747,0.200191428296789,1.76013169784442,-9130.37643427558,-333.359331019154,3
"99",2,35,120,416,506,647,689,777,35,4,0.103457341238064,0.0286619053449513,1.85836470017231,-7537.92338234166,-362.526366602649,2
"100",34,53,115,330,622,651,826,850,35,2,0.162682391806848,0.11138493122185,1.83801294238863,-10544.9752211479,-103.421830343788,3
"101",2,181,221,261,349,407,731,739,34,4,0.0119919305814422,0.0460251700248842,1.78851681060387,-8723.53726295017,-360.011512521485,2
"102",2,71,88,188,229,330,445,649,34,4,0.0174888742875359,0.0716406274086367,1.75109433413757,-9269.95053772357,-340.589742979677,2
"103",2,128,164,222,407,731,772,828,34,4,0.0297485309387038,0.0414121602136859,1.79272140588532,-8243.05694425474,-356.547728008922,2
"104",2,189,207,291,441,572,714,818,34,5,0.0300218731413684,0.0311846886525196,1.76109285245317,-11264.1844132268,-289.154668651644,3
"105",2,4,281,316,434,627,675,809,34,4,0.0524167478606947,0.0166723470003707,1.78711581786784,-6616.71262577226,-366.190628195531,2
"106",2,75,81,150,191,276,759,780,34,3,0.0546446097701183,0.0158840477014937,1.78878030517316,-7914.77054881812,-366.001720095994,2
"107",2,32,87,218,334,434,509,601,34,4,0.0591276635583258,0.014435295928922,1.79920166489362,-6457.50019366855,-363.702109002398,1
"108",2,241,254,293,325,566,726,749,34,3,0.0591276635583258,0.014435295928922,1.79920166489362,-8105.53808169459,-363.702109002398,1
"109",2,204,231,238,315,409,439,633,34,4,0.0591276635583258,0.014435295928922,1.79920166489362,-7011.06235815136,-363.702109002398,1
"110",2,176,503,535,628,675,767,771,34,4,0.0596641796349695,0.0189585448093132,1.89461973751109,-9517.40801901119,-307.964079268807,3
"111",2,209,265,374,440,485,690,825,34,4,0.0601742569763923,0.0105341832977448,1.81056087778156,-10038.7646013214,-339.294641051104,3
"112",2,180,204,429,510,566,646,798,34,4,0.101355184072845,0.0252330221575747,1.8189161770483,-5104.45062401629,-366.810740914679,2
"113",2,99,140,492,504,514,796,839,34,2,0.103347147754064,0.0606945785102568,1.8969921441001,-8766.64334040057,-336.023911151381,3
"114",97,255,390,437,509,526,612,719,34,2,0.116095897271298,0.37250334480535,2.2434710164719,-11777.6438758965,-97.2495090553615,3
"115",2,285,302,379,384,523,549,795,34,4,0.15438140340719,0.0944334490575307,1.917711859114,-7304.06055461927,-367.798685271691,3
"116",2,97,255,390,437,509,526,784,33,2,0.0242137472353499,0.0401890219424965,1.78716282830013,-11010.2301591802,-347.524862327571,2
"117",10,119,216,238,543,561,590,645,33,3,0.0295318651150793,0.0927739844757354,1.51913001076848,-12463.2320624037,-306.095818045336,3
"118",10,54,119,133,216,543,590,645,33,4,0.0295318651150793,0.0927739844757354,1.51913001076848,-12807.0203485844,-306.095818045336,3
